,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,CFID,CFPARAMS,BEST EFF,star
391,2082,Dan McClintock,1610612743,DEN,24,6,3,3,0.5,9.7,1.5,3,0.5,0,0,0,0,0.8,0,1.7,1.2,2.8,0.2,0.5,0,0.3,0.5,1.8,0,3,-4.5,7.2,0,0,58,55,56,33,38,33,37,7,33,51,33,60,41,60,5,34,17,54,44,60,17,14,24,1,36,62,33,11,2,5,"20,821,610,612,743",,0
392,101159,Dijon Thompson,1610612756,PHX,23,10,8,2,0.8,4.3,1.1,2.5,0.44,0.4,1.1,0.364,0.2,0.2,1,0.4,0.7,1.1,0.1,0.2,0.3,0.1,0.1,0.6,0.3,2.8,-1.2,5.3,0,0,74,62,76,5,79,44,47,35,18,22,12,71,76,1,48,63,60,78,76,46,45,73,71,75,45,55,56,23,2,5,"1,011,591,610,612,750",,0
393,2060,Marko Jaric,1610612746,LAC,24,66,22,44,0.333,21,2.7,6.8,0.401,0.8,2.5,0.319,1.2,1.6,0.752,0.5,1.9,2.4,2.9,1.6,1.5,0.2,0.3,1.9,0,7.4,0.2,18.1,0,0,19,26,13,40,14,12,13,28,5,5,21,16,17,20,27,19,21,3,11,3,32,28,17,11,13,14,10,16,2,5,"20,601,610,612,746",121,0
394,1572,Nate Huffman,1610612761,TOR,28,7,1,6,0.143,11.2,1.3,3.6,0.36,0,0,0,0.7,1.1,0.625,1.3,2,3.3,0.7,0.4,0.1,0.4,0.6,1.9,0,3.3,0,9.6,0,0,60,61,55,61,35,34,29,45,44,52,44,29,26,45,11,17,12,34,53,54,14,11,18,11,34,19,25,16,2,5,"15,721,610,612,761",,0
395,1528,Bubba Wells,1610612742,DAL,23,39,7,32,0.179,10,1.2,3,0.414,0,0.2,0.167,0.8,1.1,0.721,0.6,1.2,1.7,0.9,0.8,0.4,0.1,0.3,1,0,3.3,-2.4,7.3,0,0,30,44,22,56,32,35,37,28,35,37,37,37,38,26,33,31,30,27,35,30,46,37,42,19,35,47,33,18,1,5,"15,281,610,612,742",,0
397,1515,Anthony Parker,1610612755,PHI,23,37,18,19,0.486,5.3,0.7,1.7,0.397,0.2,0.8,0.321,0.4,0.5,0.65,0.2,0.5,0.7,0.5,0.3,0.3,0.1,0.1,0.5,0,1.9,-0.7,4.4,0,0,35,22,34,28,51,49,52,37,18,18,19,50,50,41,54,51,53,36,58,42,47,56,60,19,50,31,50,18,1,5,"15,151,610,612,755",88,0
398,2069,Hanno Mottola,1610612737,ATL,24,73,22,51,0.301,13.5,1.7,3.8,0.444,0,0,0,1,1.2,0.811,0.7,1.7,2.4,0.3,0.9,0.2,0.1,0.5,2.2,0,4.4,-3.3,7.6,0,0,13,22,6,51,28,28,27,19,33,43,33,21,23,7,28,18,20,40,21,51,40,21,10,1,30,55,32,11,2,5,"20,691,610,612,737",181,0
399,201802,Oliver Lafayette,1610612738,BOS,26,1,0,1,0,21.5,3,6,0.5,1,2,0.5,0,0,0,1,3,4,2,1,0,0,0,0,0,7,-9,13.8,0,0,55,53,54,53,16,20,22,10,9,15,2,53,53,53,10,10,12,11,20,53,50,53,55,53,25,57,22,22,5,5,"2,018,021,610,612,730",,0
400,2556,Marcus Banks,1610612738,BOS,22,81,35,46,0.432,17,2.2,5.5,0.4,0.3,1.1,0.314,1.2,1.6,0.756,0.4,1.3,1.6,2.2,1.5,1.1,0.2,0.5,2.1,0,5.9,-1.5,13.3,0,0,4,9,7,33,20,17,16,38,17,17,19,12,12,26,44,38,39,11,12,7,33,13,18,5,17,46,18,24,2,5,"25,561,610,612,738",187,0
402,2214,Michael Bradley,1610612761,TOR,23,26,16,10,0.615,4.5,0.5,1,0.52,0,0.1,0,0.2,0.3,0.5,0.3,0.7,0.9,0.1,0.2,0,0.2,0.1,0.4,0,1.2,-1.7,2.9,0,0,44,38,47,10,66,60,67,4,34,41,34,65,64,60,58,58,59,66,61,61,36,61,66,16,64,44,66,23,2,5,"22,141,610,612,761",,0
