,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,CFID,CFPARAMS,BEST EFF,star
510,1914,Chris Herren,1610612743,DEN,24,45,18,27,0.4,13.2,1,2.8,0.363,0.5,1.5,0.358,0.6,0.9,0.675,0.3,0.9,1.2,2.5,0.9,0.3,0,0.4,1.6,0.1,3.1,-1.5,8.4,0,0,29,27,22,41,27,36,38,42,10,14,9,35,40,30,50,42,48,13,24,30,46,24,26,28,33,41,30,18,4,5,"19,141,610,612,743",,0
511,201785,Othyus Jeffers,1610612762,UTA,24,14,10,4,0.714,5.2,0.9,2.1,0.414,0,0,0,0.9,1.4,0.684,0.6,0.8,1.4,0.1,0.4,0.3,0,0.2,0.7,0.9,2.6,0.3,4.8,0,0,48,46,50,5,52,50,48,37,42,49,42,25,25,35,31,45,41,52,43,42,50,39,45,34,46,13,47,22,5,5,"2,017,851,610,612,760",,0
512,201576,Anthony Randolph,1610612744,GSW,19,63,21,42,0.333,17.9,3.2,6.8,0.462,0,0.1,0,1.6,2.2,0.716,2,3.7,5.8,0.8,1.3,0.7,1.2,0.6,2.2,1.9,7.9,-1.5,20.3,8,0,26,30,14,43,23,18,17,25,34,41,34,14,14,32,8,7,7,33,15,14,2,16,15,16,18,39,12,7,2,5,"2,015,761,610,612,740",,0
513,2679,Matt Carroll,1610612759,SAS,23,16,7,9,0.438,4.1,0.4,1,0.438,0.1,0.2,0.333,0.3,0.4,0.667,0.1,0.3,0.4,0.1,0.4,0.1,0,0.1,0.5,0,1.2,-0.6,1.6,0,0,50,50,44,32,62,62,63,22,36,43,14,58,58,40,61,60,62,60,58,58,55,60,60,5,61,31,65,24,2,5,"26,791,610,612,759",125,0
514,1575,Derek Grimm,1610612758,SAC,23,9,2,7,0.222,3.7,0.4,1.6,0.286,0.4,1.3,0.333,0.2,0.2,1,0,0.4,0.4,0,0.3,0.3,0.1,0,0.7,0,1.6,-1.1,3.1,0,0,54,59,50,50,59,57,53,60,9,11,12,55,57,1,64,53,61,61,56,39,43,62,55,19,53,38,59,18,1,5,"15,751,610,612,758",,0
515,200770,Jordan Farmar,1610612747,LAL,20,72,37,35,0.514,15.1,1.7,4.1,0.422,0.6,1.9,0.328,0.4,0.5,0.711,0.3,1.3,1.7,1.9,1,0.6,0.1,0.2,1.1,0.7,4.4,0.2,10.4,0,0,9,5,19,25,25,28,26,42,14,15,28,59,62,33,59,34,41,8,14,16,46,49,49,50,31,19,27,23,1,5,"2,007,701,610,612,740",131,0
516,2441,Jamal Sampson,1610612749,MIL,20,5,3,2,0.6,1.8,0,0.4,0,0,0,0,0,0,0,0.2,0.2,0.4,0.2,0,0.2,0,0,0,0,0,0.4,1.4,0,0,61,58,62,11,63,62,63,62,44,52,44,60,60,60,54,63,62,57,62,46,57,61,61,11,62,11,62,16,2,5,"24,411,610,612,749",,0
517,202132,Cedric Jackson,1610612764,WAS,24,12,11,1,0.917,6.2,0.5,1.7,0.3,0.1,0.5,0.167,0.6,1,0.583,0.2,0.5,0.7,1.2,0.9,0.3,0.2,0.3,0.6,0.7,1.7,-0.8,4.6,0,0,50,44,54,1,48,54,52,56,37,34,41,41,36,47,51,50,53,22,28,44,29,33,47,43,53,31,49,22,5,5,"2,021,321,610,612,760",,0
518,2775,Ha Ha,1610612757,POR,19,19,4,15,0.211,5.3,0.5,1.2,0.435,0,0,0,0.3,0.6,0.545,0.3,0.6,0.9,0.1,0.6,0.1,0.3,0.1,1.1,0,1.4,-0.6,3,0,0,49,54,41,55,54,57,59,28,40,54,40,54,51,55,47,50,50,61,38,59,28,56,47,1,58,32,58,23,2,5,"27,751,610,612,757",,0
519,1061,William Cunningham,1610612755,PHI,24,7,6,1,0.857,5.6,0.6,1.3,0.444,0,0,0,0,0,0,0.6,0.9,1.4,0.1,0,0.3,0,0.1,1.4,0,1.1,2.1,3.9,0,0,59,49,61,3,50,54,58,20,40,53,40,59,59,59,32,38,37,56,63,43,58,51,28,19,59,7,53,18,1,5,"10,611,610,612,755",,0
520,200797,Ryan Hollins,1610612766,CHA,22,27,8,19,0.296,6.9,0.7,1.3,0.556,0,0,0,0.9,1.5,0.6,0.4,0.7,1.1,0,0.6,0.1,0.3,0.1,1.5,1,2.4,-3.4,4.4,0,0,52,54,47,57,60,54,67,5,49,60,49,30,25,54,53,53,55,72,43,59,22,56,31,35,53,78,59,23,1,5,"2,007,971,610,612,760",184,0
521,101154,Andray Blatche,1610612764,WAS,19,29,16,13,0.552,6.1,0.9,2.3,0.388,0.1,0.4,0.231,0.3,0.4,0.833,0.4,0.9,1.3,0.3,0.4,0.2,0.2,0.2,1.2,0.3,2.2,-0.3,5.2,0,0,43,37,49,25,69,55,52,65,41,40,38,61,69,16,46,56,55,55,63,59,24,52,50,72,55,28,58,23,2,5,"1,011,541,610,612,760",48,0
522,2788,DJ Mbenga,1610612742,DAL,24,15,9,6,0.6,3.8,0.4,0.9,0.429,0,0,0,0.2,0.3,0.75,0.2,0.3,0.5,0,0.3,0,0.3,0,0.9,0,1,-2.5,2.3,0,0,53,45,56,15,61,60,63,35,40,54,40,59,62,17,52,60,59,64,55,60,22,59,50,1,62,55,62,23,2,5,"27,881,610,612,742",,0
523,2173,Sean Colson,1610612745,HOU,25,13,5,8,0.385,3.4,0.5,1.8,0.25,0.1,0.4,0.2,0.2,0.3,0.5,0.2,0.3,0.5,0.8,0.2,0.1,0,0.1,0.5,0,1.2,-2.6,2.9,0,0,50,49,50,40,65,59,51,61,25,24,27,56,60,50,56,63,63,25,65,57,56,59,61,1,60,51,61,11,2,5,"21,731,610,612,745",,0
524,200785,Kosta Perovic,1610612744,GSW,23,7,4,3,0.571,5.4,0.4,1.4,0.3,0,0,0,0.6,0.9,0.667,0.9,1,1.9,0.1,0.1,0,0.3,0.3,0.9,0.6,1.4,0.6,4.6,0,0,55,50,53,20,52,58,58,55,38,48,38,38,36,31,27,41,37,57,57,55,23,34,46,43,55,13,51,20,1,5,"2,007,851,610,612,740",,0
525,1711,Raef LaFrentz,1610612743,DEN,23,12,3,9,0.25,32.4,4.9,10.8,0.457,1,2.6,0.387,3,4,0.75,2.8,4.8,7.6,0.7,0.8,0.8,1.4,1,3.2,0,13.8,-5.5,29.7,3,0,47,52,41,51,5,4,5,18,7,6,11,2,3,21,2,2,2,29,32,12,2,2,2,12,3,65,3,6,1,5,"17,111,610,612,743",48,0
526,981,Efthimios Rentzias,1610612755,PHI,27,35,23,12,0.657,4.1,0.6,1.7,0.339,0.1,0.2,0.5,0.2,0.3,0.889,0.3,0.5,0.7,0.2,0.1,0.2,0.1,0.1,0.6,0,1.5,-0.5,3.2,0,0,42,22,47,6,60,54,55,50,34,40,1,49,55,3,43,55,55,57,60,51,49,52,55,11,57,25,58,16,2,5,"9,811,610,612,755",,0
527,2000,Dedric Willoughby,1610612741,CHI,26,25,2,23,0.08,20.3,2.4,7.2,0.341,1.2,3.9,0.296,1.6,2,0.765,0.4,1.6,2,2.6,1.5,0.9,0.1,0.4,1.3,0.3,7.6,-1.6,15.5,0,0,38,56,25,60,15,17,13,47,2,2,15,12,12,12,44,21,28,11,14,11,41,19,36,11,15,43,16,18,4,5,"20,001,610,612,741",,0
528,2551,T.J. Ford,1610612749,MIL,21,55,29,26,0.527,27,2.8,7.2,0.384,0.1,0.4,0.238,1.5,1.8,0.816,0.7,2.5,3.2,6.5,2.5,1.1,0.1,0.5,2.2,0,7.1,0.1,21.6,3,0,26,15,31,20,7,10,9,47,31,34,34,8,10,10,29,15,21,2,5,6,47,12,16,5,11,21,7,9,2,5,"25,511,610,612,749",64,0
529,1727,Pat Garrity,1610612756,PHX,22,39,24,15,0.615,13.8,2.2,4.4,0.5,0.2,0.5,0.389,1,1.4,0.714,0.7,1.3,1.9,0.5,0.5,0.2,0.1,0.3,1.6,0,5.6,1,8.9,0,0,20,10,29,15,24,20,23,11,21,25,10,22,28,25,32,28,27,36,46,41,39,31,31,12,19,12,28,16,1,5,"17,271,610,612,756",114,0
530,200837,Mike Hall,1610612764,WAS,23,2,0,2,0,6.4,0.5,2,0.25,0,0,0,0,0,0,0.5,0.5,1,0.5,0,0,0,0,0.5,0.5,1,-1.5,3,0,0,78,76,74,76,62,69,54,73,49,60,49,75,76,75,42,72,58,42,79,72,63,71,74,60,72,46,70,23,1,5,"2,008,371,610,612,760",,0
531,1585,Brandon Williams,1610612744,GSW,23,9,2,7,0.222,15.5,1.8,5.6,0.32,0.3,1,0.333,0.2,0.4,0.5,0.4,1.2,1.7,0.3,1,0.7,0.3,0.7,2,0,4.1,-0.8,8.6,0,0,54,59,50,50,26,26,23,59,13,15,12,55,54,53,37,26,32,40,30,18,18,9,22,19,27,32,30,18,1,5,"15,851,610,612,744",,0
532,2249,Jamison Brewer,1610612754,IND,21,13,6,7,0.462,3.2,0.2,0.4,0.4,0,0.1,0,0,0,0,0.2,0.5,0.6,0.7,0.2,0.2,0,0.1,0.2,0,0.3,0.1,2.3,0,0,57,53,56,33,69,68,69,41,34,41,34,68,69,68,61,62,64,36,61,53,59,61,68,16,69,18,67,23,2,5,"22,491,610,612,754",,0
534,1900,Quincy Lewis,1610612762,UTA,23,74,50,24,0.676,12.1,1.5,4,0.372,0.3,0.9,0.365,0.5,0.7,0.731,0.6,0.9,1.5,0.5,0.6,0.3,0.2,0.4,2.1,0.1,3.8,-1.1,7.4,0,0,12,1,24,14,29,28,26,39,17,23,5,39,44,19,31,41,41,37,34,31,25,25,17,37,27,36,33,18,4,5,"19,001,610,612,762",201,0
535,2857,Andre Barrett,1610612753,ORL,23,38,17,21,0.447,12.6,1.2,3.3,0.363,0.4,1.4,0.269,0.4,0.5,0.737,0.3,0.8,1.1,1.8,0.7,0.5,0,0.2,1.3,0,3.1,0.7,8,1,0,32,27,32,33,36,38,37,51,18,14,28,52,56,21,49,46,47,12,31,30,55,47,41,1,39,13,40,14,2,5,"28,571,610,612,753",,0
536,2248,Earl Watson,1610612760,SEA,23,64,34,30,0.531,15.1,1.5,3.3,0.453,0.3,0.7,0.364,0.4,0.6,0.639,0.5,0.8,1.3,2,0.8,0.9,0.1,0.3,1.5,0,3.6,0.6,10.3,0,0,20,13,19,21,28,32,32,19,16,23,7,54,53,50,43,51,48,11,30,8,48,39,32,16,35,13,29,23,2,5,"22,481,610,612,760",95,0
537,1910,Leon Smith,1610612737,ATL,21,14,5,9,0.357,7.2,0.7,1.9,0.385,0,0,0,0.8,1.2,0.647,0.7,1.5,2.2,0.2,0.2,0.4,0.1,0.2,0.9,0,2.2,0.5,6.3,0,0,56,56,52,43,51,54,58,46,34,51,34,33,27,48,37,29,30,58,66,33,50,46,50,16,48,15,47,23,2,5,"19,101,610,612,737",,0
539,2571,Leandro Barbosa,1610612756,PHX,21,70,25,45,0.357,21.4,3,6.7,0.447,1.2,3,0.395,0.7,0.9,0.77,0.3,1.4,1.8,2.4,1.7,1.3,0.1,0.5,2.6,0,7.9,-1.6,16.1,0,0,17,22,12,48,13,9,11,21,2,2,4,34,40,21,46,32,37,10,8,4,41,15,5,5,9,47,11,24,2,5,"25,711,610,612,756",57,0
540,201228,C.J. Watson,1610612744,GSW,24,32,20,12,0.625,11.5,1.3,3.2,0.426,0.3,0.8,0.346,0.7,0.9,0.793,0.4,0.6,1,1.1,0.6,0.5,0,0.3,0.6,0.8,3.7,0.3,7.4,0,0,37,28,39,18,32,35,37,33,14,17,6,31,34,14,42,53,50,19,37,21,51,36,53,35,35,17,37,20,1,5,"2,012,281,610,612,740",136,0
541,201238,Mario West,1610612737,ATL,24,64,31,33,0.484,4.2,0.3,0.8,0.429,0,0.1,0,0.3,0.4,0.654,0.4,0.3,0.8,0.2,0.1,0.2,0.1,0.1,1,0.3,0.9,-0.7,2.7,0,0,20,15,21,29,56,62,62,30,38,42,38,52,57,39,42,58,56,51,58,45,47,58,40,56,61,30,58,20,1,5,"2,012,381,610,612,730",,0
542,201145,Jeff Green,1610612760,SEA,21,80,19,61,0.238,28.2,4,9.4,0.427,0.3,1,0.276,2.2,3,0.744,1.3,3.5,4.7,1.5,2,0.6,0.6,0.6,2.5,2.5,10.5,-6.4,20,4,0,4,29,1,54,3,5,3,32,15,14,21,5,3,19,16,5,7,11,3,16,11,9,5,5,4,62,7,5,1,5,"2,011,451,610,612,760",58,0
543,201959,Taj Gibson,1610612741,CHI,25,82,41,41,0.5,26.9,3.8,7.7,0.494,0,0,0,1.4,2.1,0.646,2.8,4.7,7.5,0.9,1.4,0.6,1.3,0.6,3.4,1.9,9,-0.7,23.4,18,0,1,9,11,23,8,9,11,14,42,49,42,17,17,41,1,1,1,25,9,17,3,13,1,16,12,29,6,1,5,5,"2,019,591,610,612,740",50,0
544,200784,Bobby Jones,1610612755,PHI,23,44,15,29,0.341,7.6,1,2.1,0.462,0,0.2,0.111,0.5,0.9,0.561,0.5,0.8,1.3,0.4,0.4,0.3,0,0.1,1.3,0.8,2.5,0.8,5,0,0,37,45,29,53,56,49,53,24,47,46,48,47,43,62,42,51,52,50,63,45,61,62,39,43,50,11,54,23,1,5,"2,007,841,610,612,750",,0
545,2764,Donta Smith,1610612737,ATL,21,38,6,32,0.158,11.4,1.2,3,0.389,0.2,0.6,0.273,0.9,1.3,0.688,0.5,0.9,1.4,1,0.7,0.6,0.1,0.3,1.3,0,3.3,-1.6,8.1,0,0,32,49,22,63,41,42,42,46,26,27,24,25,28,34,36,44,42,24,35,22,40,33,42,1,36,48,37,23,2,5,"27,641,610,612,737",,0
546,201954,Darren Collison,1610612740,NOH,22,76,34,42,0.447,27.7,4.9,10.4,0.477,0.6,1.5,0.4,1.9,2.3,0.851,0.5,2,2.5,5.7,2.7,1,0.1,0.8,1.2,2,12.4,-2.3,24.6,14,1,13,16,10,31,7,6,7,18,18,19,8,10,12,4,33,21,24,4,4,6,47,5,32,11,7,46,5,2,1,5,"2,019,541,610,612,740",62,0
547,201978,Chase Budinger,1610612745,HOU,22,74,38,36,0.514,20.1,3.4,7.6,0.441,1.2,3.4,0.369,0.9,1.2,0.77,0.5,2.5,3,1.2,0.6,0.5,0.1,0.4,1.1,1,8.9,0,15.4,2,0,16,11,19,22,18,11,12,31,5,5,17,26,32,19,35,14,18,21,34,27,34,19,37,31,13,17,19,12,5,5,"2,019,781,610,612,740",133,0
548,1726,Mirsad Turkcan,1610612749,MIL,24,17,9,8,0.529,5.2,0.8,2.2,0.368,0,0.4,0,0.3,0.5,0.625,0.8,1.2,1.9,0.3,0.5,0.2,0.1,0.1,0.8,0.1,1.9,-2.4,4.9,0,0,45,40,44,24,56,44,45,41,34,32,34,53,53,41,26,34,31,46,41,48,43,52,51,29,50,49,47,18,4,5,"17,261,610,612,749",,0
549,2563,Dahntay Jones,1610612763,MEM,23,20,13,7,0.65,7.7,0.8,2.7,0.283,0.1,0.2,0.25,0.3,0.6,0.455,0.4,0.8,1.2,0.6,0.6,0.3,0.3,0.3,1.2,0,1.8,-2.2,5.1,0,0,44,38,47,12,53,51,46,60,38,40,32,58,52,58,45,55,50,35,43,46,16,41,43,5,56,53,52,24,2,5,"25,631,610,612,763",149,0
550,2446,Rasual Butler,1610612748,MIA,24,72,19,53,0.264,21,2.9,7.9,0.362,0.7,2.4,0.292,1.1,1.4,0.731,0.4,2.2,2.6,1.3,1.1,0.3,0.6,0.4,1.5,0,7.5,-3.1,14.1,0,0,13,29,6,48,13,10,8,43,8,6,26,18,21,28,33,14,20,18,15,36,9,24,27,11,12,54,16,16,2,5,"24,461,610,612,748",133,0
551,1741,Jelani McCoy,1610612760,SEA,21,26,14,12,0.538,12.6,2.2,2.9,0.737,0,0,0,0.8,1.6,0.5,1,2,3,0.2,0.4,0.4,0.8,0.3,1.6,0,5.1,-2.7,12.2,0,0,31,22,36,25,28,21,36,3,37,46,37,35,23,48,18,20,18,50,55,27,8,31,30,12,23,51,19,16,1,5,"17,411,610,612,760",173,0
552,200756,Hilton Armstrong,1610612740,NOK,22,56,28,28,0.5,11.3,1.2,2.2,0.544,0,0,0,0.7,1.2,0.597,1,1.6,2.7,0.2,0.6,0.2,0.5,0.2,1.4,1,3.1,-0.3,8,0,0,29,18,32,28,42,44,48,7,49,60,49,36,33,57,14,27,21,61,40,50,15,50,34,30,44,30,39,23,1,5,"2,007,561,610,612,740",192,0
553,201936,Tyreke Evans,1610612758,SAC,20,72,23,49,0.319,37.2,7.4,16.2,0.458,0.5,2,0.255,4.8,6.5,0.748,0.9,4.4,5.3,5.8,3,1.5,0.4,1.2,2.8,4.7,20.1,-4.6,37.7,13,1,20,27,7,43,1,1,1,25,20,17,35,1,1,24,16,2,5,2,2,2,11,1,4,1,1,55,1,3,1,5,"2,019,361,610,612,750",34,0
554,1514,Paul Grant,1610612749,MIL,25,6,5,1,0.833,2.2,0.3,1,0.333,0,0,0,0,0,0,0.2,0,0.2,0,0.3,0.2,0,0.3,0.7,0,0.7,-2.5,1,0,0,52,46,56,5,62,59,55,54,37,46,37,57,57,57,54,61,61,56,57,46,47,27,54,12,61,49,63,16,1,5,"15,141,610,612,749",,0
555,1864,Steve Goodrich,1610612741,CHI,25,12,3,9,0.25,11,0.6,1.5,0.389,0.1,0.3,0.333,0.3,0.6,0.571,0.6,1.2,1.8,0.5,0.7,0.2,0.1,0.1,1.2,0,1.6,-0.8,4.5,0,0,52,55,48,58,31,53,55,40,24,31,14,51,53,46,35,34,32,33,35,46,45,58,41,1,52,27,52,11,2,5,"18,641,610,612,741",,0
557,101133,Ian Mahinmi,1610612759,SAS,21,6,6,0,1,3.8,1,2,0.5,0,0,0,1.5,1.5,1,0,0.8,0.8,0.2,0.3,0,0.7,0.5,0.7,1,3.5,-2.3,6.4,0,0,56,44,61,1,58,45,47,11,38,48,38,14,23,1,59,47,54,55,48,55,9,15,49,27,41,47,41,20,1,5,"1,011,331,610,612,750",76,0
559,201580,JaVale McGee,1610612764,WAS,21,75,17,58,0.227,15.2,2.5,5.2,0.494,0,0,0,1.4,2.2,0.66,1.6,2.3,3.9,0.3,0.8,0.4,1,0.5,2.1,1.7,6.5,-3.9,15.2,4,0,18,34,4,56,26,22,26,17,34,49,34,20,15,47,11,18,14,48,29,28,7,19,17,17,23,57,23,10,2,5,"2,015,801,610,612,760",54,0
561,1757,Cory Carr,1610612741,CHI,23,42,9,33,0.214,14.8,1.7,5.1,0.329,0.1,0.7,0.167,0.6,0.8,0.75,0.2,1,1.2,1.6,1.1,0.5,0.2,0.5,1.6,0,4.1,-3.6,8.7,0,0,19,29,6,53,21,27,19,55,25,21,30,44,45,21,53,35,46,11,17,21,27,19,32,12,30,56,29,16,1,5,"17,571,610,612,741",,0
562,201156,Nick Young,1610612764,WAS,23,75,36,39,0.48,15.4,2.8,6.4,0.439,0.5,1.3,0.4,1.3,1.7,0.815,0.3,1.2,1.5,0.8,1.3,0.5,0.1,0.3,1.7,1.4,7.5,-2.4,11,0,0,10,10,12,30,24,16,16,24,10,12,3,17,19,10,49,38,42,24,12,22,45,30,23,19,16,48,24,20,1,5,"2,011,561,610,612,760",105,0
563,2417,Qyntel Woods,1610612757,POR,22,53,34,19,0.642,6.3,1.1,2.2,0.5,0.1,0.2,0.333,0.1,0.4,0.35,0.3,0.7,1,0.2,0.4,0.3,0,0.2,0.7,0,2.4,-1.5,4.4,0,0,27,10,38,8,50,38,46,6,39,41,15,56,49,58,44,44,44,55,52,38,56,37,54,11,44,43,48,16,2,5,"24,171,610,612,757",,0
564,2080,Igor Rakocevic,1610612750,MIN,25,42,23,19,0.548,5.7,0.5,1.4,0.379,0.1,0.3,0.417,0.7,0.9,0.806,0.1,0.3,0.4,0.8,0.5,0.1,0,0.1,0.6,0,1.9,1.1,3.3,0,0,36,22,38,16,57,55,59,37,33,39,5,30,36,10,60,60,61,31,43,58,57,50,56,11,51,8,57,16,2,5,"20,801,610,612,750",,0
565,200780,Solomon Jones,1610612737,ATL,22,58,20,38,0.345,11.5,1.1,2.2,0.508,0,0,0,1,1.3,0.787,0.8,1.5,2.3,0.2,0.4,0.2,0.7,0.3,2.1,1.1,3.3,-3,8.7,1,0,27,31,17,52,40,47,50,14,49,58,49,21,31,18,21,29,27,59,60,53,7,22,16,26,42,73,37,14,1,5,"2,007,801,610,612,730",,0
566,1519,John Thomas,1610612761,TOR,22,54,17,37,0.315,9.9,1,2.1,0.487,0,0,0,0.8,1,0.759,0.9,1.1,2,0.3,0.9,0.4,0.2,0.3,1.8,0.1,2.8,0,6.7,0,0,24,23,17,45,34,41,46,7,40,53,40,39,39,22,20,35,27,43,34,28,23,39,24,3,42,17,35,18,1,5,"15,191,610,612,761",,0
567,201594,Walter Sharpe,1610612765,DET,22,8,6,2,0.75,2.4,0.5,1.4,0.364,0,0.3,0,0,0.3,0,0,0.4,0.4,0,0,0,0.3,0,0.4,0.3,1,-1.1,2.2,0,0,54,53,57,6,58,56,54,53,34,33,34,55,56,55,58,55,56,57,59,58,30,58,58,55,57,34,55,23,2,5,"2,015,941,610,612,760",,0
568,201171,Carl Landry,1610612745,HOU,24,42,32,10,0.762,16.9,3.2,5.2,0.616,0,0,0,1.7,2.6,0.661,2.3,2.6,4.9,0.5,0.6,0.4,0.2,0.6,2.3,2.1,8.1,2.3,15.9,1,0,30,14,41,8,22,12,19,2,38,45,38,11,8,35,3,14,6,35,34,26,34,12,10,9,12,4,16,13,1,5,"2,011,711,610,612,740",53,0
569,101131,Jason Maxiell,1610612765,DET,23,26,20,6,0.769,6.1,0.9,2.1,0.426,0,0,0,0.5,1.6,0.333,0.5,0.6,1.1,0.1,0.4,0.2,0.2,0,0.5,0.9,2.3,-3.7,4.4,1,0,47,31,68,7,68,56,59,37,53,61,53,48,20,73,41,66,62,76,61,63,34,77,72,36,52,76,65,15,2,5,"1,011,311,610,612,760",134,0
570,201588,George Hill,1610612759,SAS,23,77,52,25,0.675,16.5,1.9,4.8,0.403,0.3,0.9,0.329,1.5,1.9,0.781,0.4,1.7,2.1,1.8,1,0.6,0.3,0.4,1.9,1.9,5.7,0.2,12.4,1,0,15,2,33,10,24,31,28,44,21,22,21,18,19,23,42,30,32,12,23,18,28,24,20,14,25,15,28,18,2,5,"2,015,881,610,612,750",67,0
571,101129,Luther Head,1610612745,HOU,23,80,32,48,0.4,28.9,3.2,7.9,0.403,1.4,3.9,0.361,1.1,1.5,0.699,0.4,2.9,3.3,2.7,1.5,1.1,0.1,0.5,2.1,1.2,8.8,-0.5,19,1,0,3,12,9,53,4,9,7,52,1,1,13,22,21,48,47,9,13,8,10,3,41,18,18,21,10,34,7,15,2,5,"1,011,291,610,612,740",125,0
572,2032,Darius Miles,1610612746,LAC,19,81,30,51,0.37,26.4,3.9,7.8,0.505,0,0.2,0.053,1.5,2.9,0.521,1.6,4.3,5.9,1.2,1.8,0.6,1.5,0.6,2.4,0,9.4,0.4,23,9,0,2,11,6,43,4,4,8,5,32,32,32,10,2,49,6,3,3,15,4,13,2,9,9,1,6,10,3,3,2,5,"20,321,610,612,746",101,0
573,2599,Brandon Hunter,1610612738,BOS,23,36,14,22,0.389,11.2,1.5,3.2,0.457,0,0.1,0,0.5,1.2,0.442,1.4,1.9,3.3,0.5,0.6,0.4,0,0.4,1.1,0,3.5,-0.1,8.8,1,0,39,36,37,44,37,34,35,17,41,46,41,40,28,59,13,22,18,39,41,36,53,21,44,5,38,23,33,14,2,5,"25,991,610,612,738",,0
575,200748,Tyrus Thomas,1610612741,CHI,20,72,44,28,0.611,13.4,1.9,3.9,0.475,0,0,0,1.5,2.4,0.606,1.2,2.5,3.7,0.6,1.3,0.6,1.1,0.5,2.3,2,5.2,2,14.3,2,0,9,2,32,13,30,25,28,19,49,56,49,13,6,53,8,12,12,39,8,13,2,8,12,11,22,3,16,12,1,5,"2,007,481,610,612,740",91,0
576,1744,Jerome James,1610612758,SAC,23,16,8,8,0.5,2.6,0.6,1.5,0.375,0,0,0,0.4,0.8,0.5,0.4,0.7,1.1,0.1,0.6,0.1,0.4,0.3,0.7,0,1.5,-1,3.8,0,0,45,34,44,30,61,56,53,46,37,46,37,51,47,48,42,46,47,53,42,50,17,40,53,12,54,32,53,16,1,5,"17,441,610,612,758",171,0
577,201973,Jonas Jerebko,1610612765,DET,23,80,26,54,0.325,27.9,3.6,7.5,0.481,0.5,1.4,0.313,1.6,2.2,0.71,2.4,3.6,6,0.7,1,1,0.4,0.7,2.9,2,9.3,-2,20.5,7,0,7,23,5,42,6,10,14,17,23,20,27,15,14,33,3,8,3,29,19,8,10,9,3,13,11,41,9,7,5,5,"2,019,731,610,612,760",116,0
578,2605,Marquis Daniels,1610612742,DAL,23,56,32,24,0.571,18.5,3.6,7.3,0.494,0.2,0.6,0.306,1.1,1.4,0.769,1.2,1.4,2.6,2.1,0.8,0.9,0.2,0.5,0.9,0,8.5,0.2,17.5,0,0,25,13,34,17,18,7,8,5,24,29,21,17,22,22,18,32,26,12,32,11,27,15,53,5,8,19,9,24,2,5,"26,051,610,612,742",183,0
579,200835,Walter Herrmann,1610612766,CHA,28,48,19,29,0.396,19.5,3.6,6.9,0.527,1.1,2.4,0.461,0.9,1.1,0.774,0.6,2.3,2.9,0.5,0.7,0.4,0.1,0.3,1.6,1.6,9.2,-0.3,14.3,1,0,33,34,29,39,12,7,9,12,3,7,5,32,37,21,37,14,18,41,36,39,35,33,26,17,6,27,15,14,1,5,"2,008,351,610,612,760",,0
580,2798,Horace Jenkins,1610612765,DET,30,15,11,4,0.733,6.8,1,3,0.333,0,0.6,0,0.8,0.9,0.923,0.2,0.4,0.6,0.6,0.5,0.3,0.1,0.5,0.4,0,2.8,-1.1,5.2,0,0,53,40,60,6,51,45,41,56,40,25,40,27,40,6,52,56,56,39,48,47,46,11,62,1,46,40,50,23,2,5,"27,981,610,612,765",,0
581,1518,Rodrick Rhodes,1610612745,HOU,24,58,29,29,0.5,18.5,1.9,5.3,0.367,0,0.1,0.25,1.9,3.1,0.617,0.5,0.7,1.2,1.9,1.7,1.1,0.2,0.7,2.2,0,5.8,-1.3,12.2,0,0,21,10,27,25,20,24,24,47,34,38,28,13,10,45,35,45,39,12,12,7,33,10,19,19,24,42,23,18,1,5,"15,181,610,612,745",,0
582,2050,Morris Peterson,1610612761,TOR,23,80,45,35,0.563,22.6,3.6,8.4,0.431,0.8,2.1,0.382,1.3,1.8,0.717,1.4,1.8,3.2,1.3,1,0.8,0.3,0.6,2.1,0,9.3,1.1,17.3,0,0,3,3,21,25,5,7,7,24,4,4,7,13,14,24,9,17,13,13,19,7,23,8,15,1,7,6,5,11,2,5,"20,501,610,612,761",58,0
583,2669,Linton Johnson,1610612741,CHI,24,41,12,29,0.293,17.9,1.8,5,0.355,0.2,0.8,0.212,0.5,0.9,0.595,1.4,3,4.5,0.7,0.9,0.9,0.8,0.3,2.2,0,4.2,-3.7,14.7,2,0,34,42,24,53,19,27,21,51,28,22,36,37,37,52,10,8,8,33,26,12,5,38,17,5,30,63,16,10,2,5,"26,691,610,612,741",,0
